,title,view,contents,create_date,search_query,video_url,youtuber_id
0,갤럭시 Z 플립4 언빡싱 달라진점 7가지  플립3의 가장 큰 단점을 개선했다 ,980000,갬성의 삼성이라고 불렸던 플립3의 후속작인 플립4가 공개되었습니다  이번에는 파격적인 변신보다는 기존의 완성도를 더욱 높이    ,2022-08-16,갤럭시,https://www.youtube.com/watch?v=WwGzNicmPHk,0
1,1  갤럭시 Z 플립4   폴드4 첫 인상  궁금한게 많아서 개발자분께 모두 물어봤습니다 ,1670000,기다리고 기다렸던 삼성전자의 하반기 전략 플래그십 스마트폰  갤럭시 Z 플립4와 폴드4가 정식으로 공개되었습니다  이번에는 기존    ,2022-08-11,갤럭시,https://www.youtube.com/watch?v=H-wxJxEkmm4,0
2,40대가 아이폰을 사기 시작했다  예상과 달리 놀라운 결과의 2022년 한국 스마트폰 점유율 분석해보기 ,760000,한국에서 갤럭시가 더 많이 팔리는지  아이폰이 더 많이 팔리는지 궁금하셨나요  이번 영상은 갤럽에서 발표한 자료를 바탕으로 젊은    ,2022-07-20,갤럭시,https://www.youtube.com/watch?v=PDMQpgMDjeU,0
3,2  갤럭시 버즈2 프로   워치5 프로 첫 인상  귀에 넣어도 이제 안 아플까 ,710000,2022년 8월 10일  기다리고 기다렸던 버즈 프로의 후속작인 버즈2 프로 그리고 작년에 출시 후 인기를 끌었던 워치4의 후속인 워치5와    ,2022-08-11,갤럭시,https://www.youtube.com/watch?v=MsdZwVNK6EE,0
4,삼성버전 인덕션  카메라 성능에 몰빵한 삼성 갤럭시 S20   S20    S20 Ultra 전모델 달라진점 살펴보기 ,2290000,드디어  상반기 삼성의 플래그십 스마트폰  갤럭시 S20 시리즈가 모두 공개되었습니다  이번에 출시한 스마트폰은 디자인적인 변화    ,2020-08-17,갤럭시,https://www.youtube.com/watch?v=NLNJ2hKDyaU,0
5,GOS 이슈 이후 첫 삼성 스마트폰  갤럭시 Z 플립4 폴드4 유출 디자인과 관전할만한 포인트는 뭘까 ,700000,상반기  삼성전자의 여러가지 이슈가 있은 후    하반기에 등장하는 새로운 플래그십 스마트폰 출시가 곧 다가왔고  최근 렌더링으로    ,2022-07-27,갤럭시,https://www.youtube.com/watch?v=rK3P4ltvEds,0
6,쉴드칠 건덕지가 없는 미쳐버린 역대급 이슈  삼성 갤럭시 GOS에 관한 테스트 내용 정리,2830000,최근 삼성 갤럭시에서 GOS 이슈가 새롭게 생겼죠  기본 설치된 GOS는 성능을 저하시킨다고 하는데  실제로 소비자가 체감할 수 있을    ,2022-03-20,갤럭시,https://www.youtube.com/watch?v=faOBclPC0nY,0
7,소비자의 Needs 를 드디어 파악했을까  긴급 삼성 갤럭시 GOS 업데이트 했지만 새로운 문제가    ,1250000,갤럭시 S22 출시 이후 강제로 성능을 저하시키는 GOS 이슈가 생겨나고 논란이 일자 삼성전자는 3월 10일  GOS에 관한 해결책으로    ,2022-03-20,갤럭시,https://www.youtube.com/watch?v=AV7NXHq0SF4,0
8,갤럭시 Z 플립4 언빡싱 달라진점 7가지  플립3의 가장 큰 단점을 개선했다 ,980000,갬성의 삼성이라고 불렸던 플립3의 후속작인 플립4가 공개되었습니다  이번에는 파격적인 변신보다는 기존의 완성도를 더욱 높이    ,2022-08-16,갤럭시z플립 4,https://www.youtube.com/watch?v=WwGzNicmPHk,0
9,1  갤럭시 Z 플립4   폴드4 첫 인상  궁금한게 많아서 개발자분께 모두 물어봤습니다 ,1670000,기다리고 기다렸던 삼성전자의 하반기 전략 플래그십 스마트폰  갤럭시 Z 플립4와 폴드4가 정식으로 공개되었습니다  이번에는 기존    ,2022-08-11,갤럭시z플립 4,https://www.youtube.com/watch?v=H-wxJxEkmm4,0
